idhu,abv,ibu,srm,style_new,abv_norm,ibu_norm,srm_norm
74,4.5,32.67474811913184,40.004234413960766,APA,0.2962962962962963,0.2917388224922486,0.20220893122382932
75,5.0,30.0,28.384920200687866,Lager,0.3333333333333333,0.26785714285714285,0.13871541093272058
76,5.0,20.0,27.830973900687866,Pilsner,0.3333333333333333,0.17857142857142855,0.13568838197097197
77,4.8,23.0,26.134405716687866,Ale,0.3185185185185185,0.20535714285714285,0.12641751757752934
78,3.7,10.0,15.16913911968787,,0.23703703703703705,0.08928571428571427,0.06649802797643645
79,4.9,58.0,19.0,APA,0.32592592592592595,0.5178571428571428,0.08743169398907104
80,3.7,18.0,15.612296159687869,,0.23703703703703705,0.1607142857142857,0.06891965114583534
81,4.9,10.0,26.345651563687873,Wheat,0.32592592592592595,0.08928571428571427,0.12757186646823976
82,9.0,22.0,145.0,,0.6296296296296295,0.19642857142857142,0.7759562841530054
83,7.0,27.0,25.0,Pilsner,0.48148148148148145,0.24107142857142855,0.12021857923497269
84,6.0,50.0,23.0,IPA,0.4074074074074074,0.4464285714285714,0.1092896174863388
85,4.9,13.0,15.0,Wheat,0.32592592592592595,0.11607142857142856,0.06557377049180327
86,7.0,20.0,93.0,,0.48148148148148145,0.17857142857142855,0.4918032786885246
87,9.0,17.0,72.0,,0.6296296296296295,0.15178571428571427,0.3770491803278688
88,5.6,33.0,21.0,Lager,0.3777777777777777,0.29464285714285715,0.09836065573770492
89,4.9,20.0,40.0,Lager,0.32592592592592595,0.17857142857142855,0.20218579234972678
90,4.9,32.0,14.0,APA,0.32592592592592595,0.2857142857142857,0.060109289617486336
91,5.6,33.0,13.0,Pilsner,0.3777777777777777,0.29464285714285715,0.05464480874316939
92,4.9,21.0,10.0,APA,0.32592592592592595,0.1875,0.03825136612021858
93,5.6,52.0,25.0,IPA,0.3777777777777777,0.46428571428571425,0.12021857923497269
94,7.0,20.0,78.0,Stout,0.48148148148148145,0.17857142857142855,0.40983606557377045
95,4.9,72.0,14.0,APA,0.32592592592592595,0.6428571428571428,0.060109289617486336
96,5.6,55.0,18.0,IPA,0.3777777777777777,0.49107142857142855,0.08196721311475409
97,5.6,46.0,72.0,,0.3777777777777777,0.4107142857142857,0.3770491803278688
98,7.0,50.0,112.0,Stout,0.48148148148148145,0.4464285714285714,0.5956284153005464
99,7.0,50.0,112.0,,0.48148148148148145,0.4464285714285714,0.5956284153005464
100,5.6,46.0,72.0,,0.3777777777777777,0.4107142857142857,0.3770491803278688
102,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
103,6.5,80.0,120.0,IPA,0.4444444444444444,0.7142857142857142,0.6393442622950819
104,5.5,32.67474811913184,40.004234413960766,Pilsner,0.37037037037037035,0.2917388224922486,0.20220893122382932
105,6.5,30.0,40.0,,0.4444444444444444,0.26785714285714285,0.20218579234972678
106,6.5,35.0,160.0,Porter,0.4444444444444444,0.3125,0.8579234972677595
107,6.5,22.0,65.0,,0.4444444444444444,0.19642857142857142,0.33879781420765026
108,5.5,12.0,21.0,,0.37037037037037035,0.10714285714285714,0.09836065573770492
109,5.5,12.0,21.0,,0.37037037037037035,0.10714285714285714,0.09836065573770492
110,6.5,70.0,45.0,IPA,0.4444444444444444,0.625,0.22950819672131148
111,4.3,32.67474811913184,40.004234413960766,Pilsner,0.28148148148148144,0.2917388224922486,0.20220893122382932
112,5.5,11.0,3.6,,0.37037037037037035,0.09821428571428571,0.003278688524590165
113,5.5,0.0,156.0,Porter,0.37037037037037035,0.0,0.8360655737704917
114,6.5,32.67474811913184,40.004234413960766,,0.4444444444444444,0.2917388224922486,0.20220893122382932
115,6.5,11.0,33.0,Wheat,0.4444444444444444,0.09821428571428571,0.1639344262295082
116,5.5,0.0,29.0,Wheat,0.37037037037037035,0.0,0.14207650273224046
117,6.5,32.67474811913184,40.004234413960766,Amber Ale,0.4444444444444444,0.2917388224922486,0.20220893122382932
118,6.5,12.0,186.0,Porter,0.4444444444444444,0.10714285714285714,1.0
119,5.5,32.67474811913184,40.004234413960766,Pale Ale,0.37037037037037035,0.2917388224922486,0.20220893122382932
120,4.3,0.0,23.0,,0.28148148148148144,0.0,0.1092896174863388
121,5.5,32.67474811913184,40.004234413960766,Lager,0.37037037037037035,0.2917388224922486,0.20220893122382932
122,4.3,8.0,70.0,,0.28148148148148144,0.07142857142857142,0.36612021857923494
123,6.5,18.0,47.0,Ale,0.4444444444444444,0.1607142857142857,0.24043715846994537
124,4.3,9.0,5.0,Pilsner,0.28148148148148144,0.08035714285714285,0.010928961748633878
125,6.5,32.67474811913184,40.004234413960766,Stout,0.4444444444444444,0.2917388224922486,0.20220893122382932
126,0.5,32.67474811913184,40.004234413960766,,0.0,0.2917388224922486,0.20220893122382932
127,6.5,70.0,27.0,,0.4444444444444444,0.625,0.13114754098360656
128,5.1,25.0,6.0,,0.3407407407407407,0.2232142857142857,0.01639344262295082
129,6.1,70.0,27.0,IPA,0.41481481481481475,0.625,0.13114754098360656
130,5.0,40.0,6.0,Wheat,0.3333333333333333,0.3571428571428571,0.01639344262295082
131,7.5,35.0,60.0,Porter,0.5185185185185186,0.3125,0.31147540983606553
132,5.0,45.0,48.0,,0.3333333333333333,0.40178571428571425,0.24590163934426232
133,5.1,29.12855685298267,3.0,Wheat,0.3407407407407407,0.2600764004730595,0.0
134,8.0,25.0,16.0,Wheat,0.5555555555555556,0.2232142857142857,0.07103825136612021
135,6.401113076255853,30.0,40.004234413960766,Ale,0.43711948713006316,0.26785714285714285,0.20220893122382932
136,6.401113076255853,30.0,40.004234413960766,Pilsner,0.43711948713006316,0.26785714285714285,0.20220893122382932
137,8.0,20.8,62.3,,0.5555555555555556,0.18571428571428572,0.3240437158469945
138,6.401113076255853,42.0,40.004234413960766,Wheat,0.43711948713006316,0.375,0.20220893122382932
139,6.84862681172242,16.0,92.0,Wheat,0.4702686527201792,0.14285714285714285,0.48633879781420764
140,6.401113076255853,25.0,40.004234413960766,,0.43711948713006316,0.2232142857142857,0.20220893122382932
141,4.8,19.0,10.0,Wheat,0.3185185185185185,0.16964285714285712,0.03825136612021858
142,6.14065377372242,37.8,6.3,Pilsner,0.41782620546092,0.33749999999999997,0.018032786885245903
143,4.8,21.0,12.0,Pilsner,0.3185185185185185,0.1875,0.04918032786885246
144,6.07116740472242,25.7,19.7,Lager,0.41267906701647555,0.2294642857142857,0.0912568306010929
145,6.5,62.0,20.0,IPA,0.4444444444444444,0.5535714285714285,0.09289617486338797
146,5.5,15.0,19.0,Wheat,0.37037037037037035,0.13392857142857142,0.08743169398907104
147,6.24303642872242,22.5,37.3,,0.42541010583129035,0.20089285714285712,0.18743169398907103
148,6.354182961722421,15.0,57.0,Wheat,0.4336431823498089,0.13392857142857142,0.29508196721311475
149,7.0,70.0,30.0,IPA,0.48148148148148145,0.625,0.14754098360655737
150,7.0,60.0,15.0,Pale Ale,0.48148148148148145,0.5357142857142857,0.06557377049180327
152,4.5,32.0,12.0,,0.2962962962962963,0.2857142857142857,0.04918032786885246
153,6.0,70.0,15.0,Wheat,0.4074074074074074,0.625,0.06557377049180327
154,12.0,112.0,100.0,Stout,0.8518518518518519,1.0,0.5300546448087432
156,4.5,32.0,14.0,,0.2962962962962963,0.2857142857142857,0.060109289617486336
157,5.5,15.0,15.0,,0.37037037037037035,0.13392857142857142,0.06557377049180327
158,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
159,4.6,32.67474811913184,40.004234413960766,Wheat,0.30370370370370364,0.2917388224922486,0.20220893122382932
160,5.2,32.67474811913184,40.004234413960766,Pale Ale,0.34814814814814815,0.2917388224922486,0.20220893122382932
161,4.2,32.67474811913184,40.004234413960766,Wheat,0.2740740740740741,0.2917388224922486,0.20220893122382932
162,4.0,32.67474811913184,40.004234413960766,Wheat,0.25925925925925924,0.2917388224922486,0.20220893122382932
163,5.8,32.67474811913184,40.004234413960766,,0.39259259259259255,0.2917388224922486,0.20220893122382932
164,3.5,32.67474811913184,40.004234413960766,,0.2222222222222222,0.2917388224922486,0.20220893122382932
165,7.9,32.67474811913184,40.004234413960766,IPA,0.548148148148148,0.2917388224922486,0.20220893122382932
166,6.0,32.67474811913184,40.004234413960766,,0.4074074074074074,0.2917388224922486,0.20220893122382932
167,9.0,32.67474811913184,40.004234413960766,IPA,0.6296296296296295,0.2917388224922486,0.20220893122382932
168,7.2,32.67474811913184,40.004234413960766,,0.4962962962962963,0.2917388224922486,0.20220893122382932
169,5.8,32.67474811913184,40.004234413960766,Pale Ale,0.39259259259259255,0.2917388224922486,0.20220893122382932
170,5.2,32.67474811913184,40.004234413960766,APA,0.34814814814814815,0.2917388224922486,0.20220893122382932
171,6.6,32.67474811913184,40.004234413960766,Stout,0.4518518518518518,0.2917388224922486,0.20220893122382932
172,3.5,32.67474811913184,40.004234413960766,Wheat,0.2222222222222222,0.2917388224922486,0.20220893122382932
173,6.0,32.67474811913184,40.004234413960766,IPA,0.4074074074074074,0.2917388224922486,0.20220893122382932
174,3.6,32.67474811913184,40.004234413960766,Wheat,0.22962962962962963,0.2917388224922486,0.20220893122382932
175,13.0,32.67474811913184,40.004234413960766,,0.9259259259259258,0.2917388224922486,0.20220893122382932
176,6.0,32.67474811913184,40.004234413960766,IPA,0.4074074074074074,0.2917388224922486,0.20220893122382932
177,4.9,32.67474811913184,40.004234413960766,Lager,0.32592592592592595,0.2917388224922486,0.20220893122382932
178,7.0,32.67474811913184,40.004234413960766,,0.48148148148148145,0.2917388224922486,0.20220893122382932
179,7.5,32.67474811913184,40.004234413960766,IPA,0.5185185185185186,0.2917388224922486,0.20220893122382932
180,9.0,32.67474811913184,40.004234413960766,,0.6296296296296295,0.2917388224922486,0.20220893122382932
181,6.0,32.67474811913184,40.004234413960766,IPA,0.4074074074074074,0.2917388224922486,0.20220893122382932
182,6.2,32.67474811913184,40.004234413960766,APA,0.4222222222222222,0.2917388224922486,0.20220893122382932
183,7.8,32.67474811913184,40.004234413960766,Wheat,0.5407407407407407,0.2917388224922486,0.20220893122382932
184,10.5,32.67474811913184,40.004234413960766,Stout,0.7407407407407407,0.2917388224922486,0.20220893122382932
185,11.0,32.67474811913184,40.004234413960766,,0.7777777777777777,0.2917388224922486,0.20220893122382932
186,12.0,32.67474811913184,40.004234413960766,Stout,0.8518518518518519,0.2917388224922486,0.20220893122382932
187,5.1,32.67474811913184,40.004234413960766,,0.3407407407407407,0.2917388224922486,0.20220893122382932
188,13.2,32.67474811913184,40.004234413960766,,0.9407407407407407,0.2917388224922486,0.20220893122382932
189,5.1,32.67474811913184,40.004234413960766,,0.3407407407407407,0.2917388224922486,0.20220893122382932
190,5.2,35.0,30.524645424687872,Pale Ale,0.34814814814814815,0.3125,0.15040789849556216
191,4.5,35.0,24.005013165687867,Pilsner,0.2962962962962963,0.3125,0.11478149270867687
192,6.5,61.0,44.07279428568787,IPA,0.4444444444444444,0.5446428571428571,0.22444149882889547
193,6.5,25.0,42.07858760568787,IPA,0.4444444444444444,0.2232142857142857,0.2135441945666004
194,4.5,25.0,23.451066865687867,Blonde Ale,0.2962962962962963,0.2232142857142857,0.11175446374692823
195,5.2,25.0,29.970699124687872,Wheat,0.34814814814814815,0.2232142857142857,0.14738086953381352
196,6.5,30.0,42.35556075568787,Porter,0.4444444444444444,0.26785714285714285,0.2150577090474747
197,8.5,30.0,60.98308149568788,,0.5925925925925926,0.26785714285714285,0.31684743986714686
198,5.2,75.0,32.740430624687875,IPA,0.34814814814814815,0.6696428571428571,0.1625160143425567
199,9.0,62.0,67.41258984068787,Stout,0.6296296296296295,0.5535714285714285,0.3519813652496605
200,4.5,15.0,22.897120565687867,Saison,0.2962962962962963,0.13392857142857142,0.10872743478517959
201,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
202,8.2,38.71468894198267,16.8,,0.5703703703703702,0.3456668655534167,0.07540983606557378
203,5.99611400572242,29.0,9.1,,0.4071195559794385,0.2589285714285714,0.033333333333333326
204,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
205,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
206,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
207,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
208,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
209,8.2,40.3,118.9,IPA,0.5703703703703702,0.3598214285714285,0.6333333333333333
210,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
211,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
212,5.3,11.7,18.3,Wheat,0.3555555555555555,0.1044642857142857,0.08360655737704918
213,8.2,90.0,15.0,IPA,0.5703703703703702,0.8035714285714285,0.06557377049180327
214,6.401113076255853,32.67474811913184,40.004234413960766,Porter,0.43711948713006316,0.2917388224922486,0.20220893122382932
215,12.0,21.0,20.0,,0.8518518518518519,0.1875,0.09289617486338797
216,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
217,4.8,36.9,26.90439107368787,,0.3185185185185185,0.3294642857142857,0.13062508783435994
218,4.8,28.4,16.0,Pale Ale,0.3185185185185185,0.25357142857142856,0.07103825136612021
219,12.0,32.67474811913184,40.004234413960766,,0.8518518518518519,0.2917388224922486,0.20220893122382932
220,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
221,4.5,36.3,42.7,Brown Ale,0.2962962962962963,0.3241071428571428,0.21693989071038253
222,4.5,27.49119242098267,18.8,,0.2962962962962963,0.24545707518734527,0.08633879781420765
223,6.5,48.8,30.1,IPA,0.4444444444444444,0.43571428571428567,0.14808743169398908
224,6.5,40.2,18.8,IPA,0.4444444444444444,0.35892857142857143,0.08633879781420765
225,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
226,6.401113076255853,32.67474811913184,40.004234413960766,Stout,0.43711948713006316,0.2917388224922486,0.20220893122382932
227,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
228,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
229,6.401113076255853,32.67474811913184,40.004234413960766,,0.43711948713006316,0.2917388224922486,0.20220893122382932
230,3.5,25.0,8.0,Pilsner,0.2222222222222222,0.2232142857142857,0.0273224043715847
231,4.5,10.0,7.5,Wheat,0.2962962962962963,0.08928571428571427,0.024590163934426226
232,5.7,45.0,8.0,IPA,0.3851851851851852,0.40178571428571425,0.0273224043715847
233,5.5,20.0,8.0,APA,0.37037037037037035,0.17857142857142855,0.0273224043715847
234,5.5,15.0,6.0,Pale Ale,0.37037037037037035,0.13392857142857142,0.01639344262295082
235,7.0,35.0,47.28941409068787,,0.48148148148148145,0.3125,0.24201865623326704
236,6.0,71.0,64.0,,0.4074074074074074,0.6339285714285714,0.3333333333333333
237,5.5,13.0,5.0,Wheat,0.37037037037037035,0.11607142857142856,0.010928961748633878
238,5.0,25.0,8.0,Pilsner,0.3333333333333333,0.2232142857142857,0.0273224043715847
239,8.0,39.0,73.0,Stout,0.5555555555555556,0.3482142857142857,0.3825136612021858
240,14.0,32.0,73.0,,1.0,0.2857142857142857,0.3825136612021858
241,4.3,32.67474811913184,40.004234413960766,,0.28148148148148144,0.2917388224922486,0.20220893122382932
242,5.4,32.67474811913184,40.004234413960766,,0.362962962962963,0.2917388224922486,0.20220893122382932
243,5.4,32.67474811913184,40.004234413960766,,0.362962962962963,0.2917388224922486,0.20220893122382932
244,4.3,32.67474811913184,40.004234413960766,,0.28148148148148144,0.2917388224922486,0.20220893122382932
245,4.3,32.67474811913184,40.004234413960766,,0.28148148148148144,0.2917388224922486,0.20220893122382932
246,6.5,32.67474811913184,40.004234413960766,Wheat,0.4444444444444444,0.2917388224922486,0.20220893122382932
247,7.0,32.67474811913184,40.004234413960766,,0.48148148148148145,0.2917388224922486,0.20220893122382932
248,7.2,32.67474811913184,40.004234413960766,,0.4962962962962963,0.2917388224922486,0.20220893122382932
249,4.3,32.67474811913184,40.004234413960766,,0.28148148148148144,0.2917388224922486,0.20220893122382932
250,4.9,32.67474811913184,40.004234413960766,,0.32592592592592595,0.2917388224922486,0.20220893122382932
251,5.0,32.67474811913184,40.004234413960766,Wheat,0.3333333333333333,0.2917388224922486,0.20220893122382932
252,5.0,32.67474811913184,40.004234413960766,,0.3333333333333333,0.2917388224922486,0.20220893122382932
253,5.9,32.67474811913184,40.004234413960766,,0.4,0.2917388224922486,0.20220893122382932
