,abv,ibu,srm,style_new
890,0.065,65.0,7.0,Pale Ale
891,0.065,65.0,7.0,Pale Ale
892,0.065,65.0,7.0,Pale Ale
893,0.065,65.0,7.0,Pale Ale
894,0.087,60.0,10.0,IPA
895,0.087,85.0,10.0,IPA
896,0.099,98.0,45.0,Stout
897,0.08,85.0,10.0,IPA
899,0.065,65.0,7.0,Pale Ale
900,0.065,65.0,7.0,Pale Ale
901,0.055,45.0,10.0,IPA
902,0.055,55.0,7.0,Pale Ale
903,0.04,39.0,7.0,Pale Ale
904,0.052000000000000005,23.0,12.0,Red Ale
905,0.053,48.0,7.0,Pale Ale
908,0.05,24.0,30.0,Porter
909,0.042,35.0,7.0,Pale Ale
910,0.062,65.0,10.0,IPA
911,0.048,35.0,7.0,Pale Ale
912,0.055,25.0,18.0,Brown Ale
914,0.04,12.0,11.0,Lager
915,0.05,17.0,4.0,Pilsner
916,0.065,77.0,10.0,IPA
917,0.062,62.0,10.0,IPA
918,0.055,10.0,18.0,Brown Ale
919,0.048,15.0,4.0,Blonde Ale
920,0.065,65.0,10.0,IPA
921,0.05,40.0,7.0,Pale Ale
922,0.05,35.0,10.0,IPA
923,0.040999999999999995,12.0,11.0,Lager
924,0.059000000000000004,25.0,12.0,Red Ale
926,0.067,74.0,10.0,IPA
927,0.061,60.0,10.0,IPA
928,0.07,75.0,10.0,IPA
930,0.06,24.0,8.0,Fruit / Vegetable Beer
931,0.045,18.0,4.0,Blonde Ale
932,0.055,25.0,30.0,Porter
934,0.055,20.0,12.0,Red Ale
935,0.07,70.0,10.0,IPA
936,0.069,51.0,10.0,IPA
937,0.057,31.0,7.0,Pale Ale
938,0.054000000000000006,45.0,7.0,Pale Ale
940,0.069,17.0,11.0,Lager
941,0.06,15.0,11.0,Lager
943,0.057,68.0,7.0,Pale Ale
948,0.045,35.0,7.0,Pale Ale
949,0.055,30.0,30.0,Porter
950,0.057999999999999996,60.0,7.0,Pale Ale
952,0.046,25.0,3.0,Witbier
954,0.051,21.0,4.0,Blonde Ale
956,0.06,50.0,4.0,Blonde Ale
957,0.051,21.0,4.0,Blonde Ale
958,0.07200000000000001,55.0,18.0,Brown Ale
959,0.062,55.0,10.0,IPA
960,0.051,17.0,4.0,Blonde Ale
961,0.055,45.0,10.0,IPA
962,0.047,25.0,30.0,Porter
964,0.065,44.0,10.0,IPA
965,0.065,44.0,10.0,IPA
966,0.057999999999999996,27.0,12.0,Red Ale
967,0.05,16.0,3.0,Witbier
968,0.05,40.0,7.0,Pale Ale
969,0.09,60.0,45.0,Stout
970,0.07,100.0,10.0,IPA
971,0.099,100.0,10.0,IPA
972,0.05,25.0,4.0,Blonde Ale
973,0.07,100.0,10.0,IPA
974,0.055,40.0,7.0,Pale Ale
977,0.057,25.0,12.0,Märzen
978,0.068,28.0,30.0,Porter
979,0.065,70.0,10.0,IPA
980,0.05,14.0,3.0,Witbier
981,0.057,42.0,12.0,Red Ale
982,0.055,42.0,7.0,Pale Ale
983,0.06,60.0,12.0,Red Ale
984,0.057999999999999996,35.0,30.0,Porter
985,0.052000000000000005,21.0,12.0,Märzen
986,0.043,45.0,7.0,Pale Ale
987,0.07200000000000001,75.0,10.0,IPA
988,0.048,25.0,4.0,Blonde Ale
989,0.05,55.0,10.0,IPA
990,0.055,60.0,7.0,Pale Ale
991,0.05,100.0,10.0,IPA
992,0.076,78.0,15.0,Strong Ale
993,0.07,80.0,10.0,IPA
995,0.055999999999999994,40.0,18.0,Brown Ale
997,0.055999999999999994,35.0,12.0,Red Ale
999,0.048,42.0,15.0,Amber
1001,0.055999999999999994,35.0,12.0,Red Ale
1002,0.05,15.0,3.0,Witbier
1003,0.068,66.0,10.0,IPA
1004,0.052000000000000005,40.0,7.0,Pale Ale
1006,0.069,20.0,30.0,Porter
1008,0.091,99.0,10.0,IPA
1009,0.05,15.0,4.0,Blonde Ale
1010,0.055,20.0,12.0,Red Ale
1012,0.07,85.0,10.0,IPA
1013,0.069,20.0,30.0,Porter
1014,0.055,45.0,7.0,Pale Ale
1015,0.05,20.0,8.0,Fruit / Vegetable Beer
1016,0.055,45.0,7.0,Pale Ale
1017,0.07,85.0,10.0,IPA
1019,0.055,45.0,7.0,Pale Ale
1020,0.055,20.0,12.0,Red Ale
1023,0.08900000000000001,88.0,10.0,IPA
1026,0.05,11.0,4.0,Blonde Ale
1028,0.045,30.0,10.0,IPA
1029,0.05,30.0,18.0,Brown Ale
1031,0.045,17.0,11.0,Lager
1032,0.07400000000000001,60.0,10.0,IPA
1033,0.07,105.0,10.0,IPA
1034,0.07,55.0,30.0,Porter
1035,0.077,40.0,15.0,Strong Ale
1036,0.053,20.0,18.0,Brown Ale
1037,0.077,40.0,12.0,Red Ale
1038,0.06,53.0,7.0,Pale Ale
1039,0.07,68.0,10.0,IPA
1040,0.069,65.0,10.0,IPA
1041,0.07200000000000001,65.0,10.0,IPA
1042,0.055999999999999994,37.0,7.0,Pale Ale
1045,0.07200000000000001,65.0,10.0,IPA
1046,0.055999999999999994,37.0,7.0,Pale Ale
1047,0.1,52.0,30.0,Porter
1049,0.032,7.0,8.0,Fruit / Vegetable Beer
1050,0.065,62.0,10.0,IPA
1051,0.047,50.0,7.0,Pale Ale
1052,0.099,111.0,10.0,IPA
1053,0.07,70.0,15.0,Strong Ale
1054,0.067,74.0,10.0,IPA
1058,0.064,62.0,10.0,IPA
1059,0.099,85.0,30.0,Porter
1060,0.059000000000000004,47.0,18.0,Brown Ale
1063,0.091,103.0,10.0,IPA
1064,0.063,69.0,45.0,Stout
1069,0.064,62.0,10.0,IPA
1070,0.068,65.0,10.0,IPA
1071,0.057999999999999996,15.0,45.0,Stout
1072,0.042,18.0,11.0,Lager
1073,0.057,58.0,11.0,ESB
1074,0.068,65.0,10.0,IPA
1075,0.057999999999999996,39.0,12.0,Red Ale
1076,0.071,92.0,10.0,IPA
1077,0.06,70.0,10.0,IPA
1080,0.049,18.0,11.0,Lager
1082,0.084,90.0,10.0,IPA
1083,0.057999999999999996,25.0,12.0,Märzen
1084,0.07,113.0,10.0,IPA
1085,0.053,21.0,11.0,Lager
1088,0.051,40.0,7.0,Pale Ale
1089,0.07,88.0,10.0,IPA
1090,0.057999999999999996,35.0,12.0,Red Ale
1092,0.06,55.0,7.0,Pale Ale
1093,0.054000000000000006,36.0,45.0,Stout
1094,0.05,22.0,18.0,Brown Ale
1095,0.05,18.0,11.0,Lager
1096,0.052000000000000005,32.0,7.0,Pale Ale
1097,0.068,60.0,10.0,IPA
1098,0.063,100.0,10.0,IPA
1099,0.063,100.0,10.0,IPA
1100,0.099,100.0,15.0,Barleywine
1101,0.052000000000000005,32.0,7.0,Pale Ale
1103,0.084,90.0,15.0,Strong Ale
1104,0.063,100.0,10.0,IPA
1105,0.07,18.0,22.0,Bock
1106,0.055,40.0,10.0,IPA
1109,0.055,65.0,10.0,IPA
1110,0.075,72.0,10.0,IPA
1111,0.077,65.0,10.0,IPA
1112,0.053,45.0,11.0,ESB
1113,0.057999999999999996,60.0,7.0,Pale Ale
1114,0.05,20.0,4.0,Blonde Ale
1115,0.08,80.0,12.0,Red Ale
1116,0.057999999999999996,40.0,45.0,Stout
1117,0.05,20.0,4.0,Blonde Ale
1118,0.057999999999999996,60.0,7.0,Pale Ale
1119,0.065,45.0,7.0,Pale Ale
1121,0.085,110.0,10.0,IPA
1122,0.092,100.0,10.0,IPA
1123,0.085,110.0,10.0,IPA
1125,0.05,20.0,4.0,Blonde Ale
1126,0.099,100.0,10.0,IPA
1128,0.083,50.0,45.0,Stout
1129,0.065,45.0,7.0,Pale Ale
1130,0.05,20.0,4.0,Blonde Ale
1131,0.047,35.0,10.0,IPA
1132,0.05,22.0,11.0,Lager
1133,0.05,22.0,11.0,Lager
1135,0.065,52.0,10.0,IPA
1136,0.048,12.0,12.0,Märzen
1137,0.065,52.0,10.0,IPA
1138,0.065,65.0,7.0,Pale Ale
1140,0.057,25.0,15.0,Amber
1141,0.065,65.0,10.0,IPA
1142,0.047,9.0,11.0,Lager
1143,0.047,9.0,11.0,Lager
1144,0.054000000000000006,33.0,7.0,Pale Ale
1145,0.047,9.0,11.0,Lager
1147,0.063,64.0,10.0,IPA
1148,0.047,9.0,11.0,Lager
1149,0.047,9.0,11.0,Lager
1150,0.047,9.0,11.0,Lager
1151,0.057,15.0,12.0,Märzen
1156,0.057,15.0,12.0,Märzen
1157,0.054000000000000006,32.0,18.0,Brown Ale
1159,0.054000000000000006,33.0,7.0,Pale Ale
1160,0.047,14.0,15.0,Amber
1161,0.047,9.0,11.0,Lager
1162,0.051,31.0,12.0,Red Ale
1164,0.05,30.0,45.0,Stout
1165,0.07200000000000001,70.0,10.0,IPA
1166,0.040999999999999995,8.0,11.0,Lager
1167,0.040999999999999995,8.0,15.0,Amber
1168,0.032,13.0,11.0,Lager
1169,0.053,49.0,7.0,Pale Ale
1170,0.053,40.0,11.0,ESB
1171,0.047,55.0,7.0,Pale Ale
1172,0.083,100.0,10.0,IPA
1174,0.054000000000000006,23.0,30.0,Porter
1175,0.057999999999999996,20.0,7.0,Pale Ale
1180,0.064,75.0,10.0,IPA
1181,0.063,75.0,10.0,IPA
1182,0.064,75.0,10.0,IPA
1183,0.064,75.0,10.0,IPA
1185,0.065,55.0,11.0,ESB
1186,0.075,77.0,10.0,IPA
1187,0.055999999999999994,50.0,7.0,Pale Ale
1188,0.099,75.0,45.0,Stout
1190,0.071,27.0,45.0,Stout
1192,0.099,60.0,15.0,Barleywine
1194,0.055,23.0,12.0,Märzen
1195,0.052000000000000005,24.0,11.0,Lager
1196,0.052000000000000005,24.0,11.0,Lager
1197,0.091,91.0,10.0,IPA
1199,0.075,77.0,10.0,IPA
1200,0.055,23.0,12.0,Märzen
1201,0.099,60.0,15.0,Barleywine
1204,0.055999999999999994,50.0,7.0,Pale Ale
1206,0.073,69.0,10.0,IPA
1207,0.075,90.0,10.0,IPA
1210,0.051,45.0,18.0,Brown Ale
1211,0.051,45.0,18.0,Brown Ale
1212,0.09699999999999999,120.0,10.0,IPA
1215,0.062,99.0,10.0,IPA
1216,0.073,50.0,10.0,IPA
1217,0.05,10.0,3.0,Witbier
1218,0.055999999999999994,35.0,7.0,Pale Ale
1219,0.05,38.0,45.0,Stout
1222,0.08,95.0,10.0,IPA
1223,0.05,44.0,10.0,IPA
1224,0.05,44.0,10.0,IPA
1226,0.05,19.0,4.0,Blonde Ale
1227,0.05,19.0,4.0,Blonde Ale
1231,0.062,35.0,30.0,Porter
1233,0.05,20.0,45.0,Stout
1234,0.068,110.0,10.0,IPA
1235,0.044000000000000004,12.0,18.0,Brown Ale
1236,0.07200000000000001,93.0,11.0,ESB
1237,0.05,20.0,45.0,Stout
1241,0.07200000000000001,93.0,10.0,IPA
1242,0.044000000000000004,22.0,18.0,Brown Ale
1243,0.05,20.0,45.0,Stout
1244,0.063,60.0,10.0,IPA
1245,0.07,80.0,10.0,IPA
1246,0.065,35.0,30.0,Porter
1248,0.047,42.0,7.0,Pale Ale
1250,0.063,23.0,18.0,Brown Ale
1252,0.071,69.0,7.0,Pale Ale
1253,0.08,120.0,10.0,IPA
1254,0.08,120.0,10.0,IPA
1255,0.046,20.0,12.0,Red Ale
1256,0.07,75.0,10.0,IPA
1257,0.048,16.0,18.0,Brown Ale
1259,0.052000000000000005,16.0,7.0,Pale Ale
1261,0.063,50.0,7.0,Pale Ale
1262,0.052000000000000005,35.0,7.0,Pale Ale
1263,0.069,34.0,18.0,Brown Ale
1264,0.099,101.0,10.0,IPA
1265,0.046,45.0,10.0,IPA
1267,0.051,11.0,8.0,Fruit / Vegetable Beer
1268,0.04,18.0,4.0,Blonde Ale
1269,0.062,40.0,30.0,Porter
1270,0.062,82.0,10.0,IPA
1271,0.053,22.0,12.0,Red Ale
1272,0.06,50.0,10.0,IPA
1274,0.055,31.0,45.0,Stout
1275,0.054000000000000006,37.0,7.0,Pale Ale
1277,0.057999999999999996,20.0,30.0,Porter
1278,0.052000000000000005,12.0,8.0,Fruit / Vegetable Beer
1279,0.12,90.0,45.0,Stout
1280,0.085,115.0,10.0,IPA
1281,0.057999999999999996,36.0,10.0,IPA
1282,0.051,22.0,12.0,Red Ale
1283,0.052000000000000005,50.0,30.0,Porter
1285,0.07,60.0,10.0,IPA
1286,0.07,35.0,30.0,Porter
1287,0.05,21.0,8.0,Fruit / Vegetable Beer
1288,0.045,18.0,4.0,Blonde Ale
1289,0.055,37.0,7.0,Pale Ale
1290,0.045,28.0,12.0,Red Ale
1291,0.073,87.0,10.0,IPA
1292,0.055,33.0,11.0,Lager
1293,0.062,72.0,10.0,IPA
1294,0.06,30.0,12.0,Red Ale
1295,0.075,93.0,12.0,Red Ale
1296,0.045,45.0,4.0,Pilsner
1298,0.075,85.0,10.0,IPA
1299,0.055,52.0,7.0,Pale Ale
1300,0.062,65.0,10.0,IPA
1301,0.054000000000000006,26.0,15.0,Amber
1302,0.075,63.0,10.0,IPA
1303,0.051,19.0,11.0,Lager
1304,0.040999999999999995,41.0,10.0,IPA
1305,0.048,48.0,10.0,IPA
1306,0.052000000000000005,27.0,12.0,Red Ale
1307,0.062,70.0,10.0,IPA
1308,0.062,70.0,10.0,IPA
1309,0.057,36.0,7.0,Pale Ale
1310,0.054000000000000006,20.0,18.0,Brown Ale
1311,0.052000000000000005,27.0,12.0,Red Ale
1312,0.062,70.0,10.0,IPA
1313,0.048,48.0,10.0,IPA
1314,0.063,69.0,10.0,IPA
1317,0.051,17.0,11.0,Lager
1318,0.051,36.0,7.0,Pale Ale
1319,0.077,23.0,12.0,Märzen
1320,0.07,68.0,15.0,Strong Ale
1322,0.04,22.0,15.0,Amber
1323,0.04,42.0,10.0,IPA
1324,0.073,83.0,10.0,IPA
1325,0.04,17.0,4.0,Blonde Ale
1327,0.073,82.0,10.0,IPA
1328,0.04,34.0,7.0,Pale Ale
1329,0.04,29.0,7.0,Pale Ale
1330,0.06,75.0,10.0,IPA
1331,0.047,25.0,22.0,Bock
1332,0.085,90.0,10.0,IPA
1334,0.045,50.0,10.0,IPA
1335,0.045,15.0,3.0,Witbier
1337,0.099,51.0,45.0,Stout
1338,0.065,33.0,10.0,IPA
1340,0.099,90.0,10.0,IPA
1341,0.075,30.0,7.0,Pale Ale
1342,0.048,15.0,11.0,Lager
1343,0.048,22.0,11.0,Lager
1344,0.053,22.0,18.0,Brown Ale
1345,0.065,70.0,10.0,IPA
1346,0.09,75.0,10.0,IPA
1347,0.09,75.0,10.0,IPA
1349,0.079,23.0,3.0,Witbier
1350,0.075,31.0,18.0,Brown Ale
1351,0.092,25.0,7.0,Pale Ale
1352,0.073,85.0,10.0,IPA
1353,0.075,85.0,4.0,Pilsner
1354,0.04,37.0,10.0,IPA
1355,0.06,55.0,10.0,IPA
1356,0.055999999999999994,50.0,10.0,IPA
1357,0.085,85.0,10.0,IPA
1358,0.051,17.0,7.0,Pale Ale
1359,0.04,37.0,10.0,IPA
1361,0.045,10.0,8.0,Fruit / Vegetable Beer
1362,0.06,55.0,10.0,IPA
1363,0.052000000000000005,67.0,10.0,IPA
1366,0.05,16.0,3.0,Witbier
1367,0.068,65.0,10.0,IPA
1368,0.057,22.0,12.0,Märzen
1369,0.057999999999999996,55.0,10.0,IPA
1370,0.075,89.0,10.0,IPA
1375,0.08199999999999999,100.0,10.0,IPA
1376,0.052000000000000005,27.0,4.0,Blonde Ale
1377,0.08199999999999999,100.0,10.0,IPA
1378,0.08199999999999999,100.0,10.0,IPA
1379,0.042,13.0,3.0,Witbier
1380,0.06,23.0,45.0,Stout
1381,0.055999999999999994,41.0,7.0,Pale Ale
1382,0.068,21.0,7.0,Pale Ale
1384,0.045,25.0,4.0,Pilsner
1385,0.051,45.0,7.0,Pale Ale
1386,0.07400000000000001,83.0,10.0,IPA
1387,0.08,31.0,30.0,Porter
1388,0.071,60.0,10.0,IPA
1389,0.048,38.0,10.0,IPA
1390,0.062,61.0,10.0,IPA
1391,0.045,23.0,4.0,Pilsner
1392,0.057999999999999996,72.0,10.0,IPA
1393,0.059000000000000004,135.0,10.0,IPA
1394,0.047,15.0,11.0,Lager
1395,0.065,82.0,10.0,IPA
1396,0.027999999999999997,15.0,4.0,Pilsner
1397,0.065,69.0,10.0,IPA
1398,0.069,69.0,10.0,IPA
1400,0.077,30.0,10.0,IPA
1401,0.069,69.0,10.0,IPA
1402,0.06,50.0,7.0,Pale Ale
1403,0.067,45.0,10.0,IPA
1404,0.055,40.0,7.0,Pale Ale
