,abv,ibu,srm,style_new
195,0.055,28.0,11.0,Lager
196,0.042,30.0,10.0,IPA
197,0.04,34.0,45.0,Stout
198,0.045,27.0,11.0,Lager
199,0.066,72.0,10.0,IPA
202,0.055999999999999994,26.0,12.0,Märzen
203,0.07,94.0,7.0,Pale Ale
204,0.048,38.0,11.0,ESB
205,0.053,45.0,7.0,Pale Ale
206,0.066,72.0,10.0,IPA
207,0.071,16.0,30.0,Porter
209,0.065,45.0,10.0,IPA
210,0.049,30.0,11.0,Lager
211,0.049,30.0,11.0,Lager
212,0.053,15.0,12.0,Märzen
214,0.049,30.0,11.0,Lager
215,0.049,35.0,7.0,Pale Ale
216,0.057,35.0,7.0,Pale Ale
217,0.049,35.0,7.0,Pale Ale
218,0.062,80.0,10.0,IPA
219,0.06,52.0,30.0,Porter
220,0.057,52.0,30.0,Porter
221,0.07,80.0,10.0,IPA
223,0.052000000000000005,40.0,12.0,Red Ale
226,0.062,68.0,10.0,IPA
227,0.054000000000000006,19.0,12.0,Red Ale
228,0.07200000000000001,60.0,10.0,IPA
229,0.05,21.0,12.0,Red Ale
231,0.05,15.0,12.0,Red Ale
232,0.052000000000000005,17.0,7.0,Pale Ale
233,0.061,64.0,10.0,IPA
234,0.068,47.0,7.0,Pale Ale
235,0.068,47.0,7.0,Pale Ale
237,0.062,42.0,12.0,Red Ale
240,0.06,40.0,4.0,Blonde Ale
241,0.06,20.0,3.0,Witbier
242,0.09,118.0,10.0,IPA
243,0.055,40.0,7.0,Pale Ale
244,0.099,115.0,10.0,IPA
246,0.07200000000000001,86.0,10.0,IPA
247,0.055,40.0,7.0,Pale Ale
248,0.05,14.0,11.0,Lager
249,0.055999999999999994,36.0,7.0,Pale Ale
250,0.053,25.0,4.0,Blonde Ale
251,0.063,35.0,12.0,Red Ale
252,0.068,100.0,10.0,IPA
253,0.063,35.0,12.0,Red Ale
254,0.053,25.0,4.0,Blonde Ale
255,0.068,100.0,10.0,IPA
256,0.055999999999999994,55.0,7.0,Pale Ale
257,0.039,16.0,11.0,Lager
258,0.054000000000000006,24.0,12.0,Red Ale
259,0.061,94.0,10.0,IPA
260,0.061,94.0,10.0,IPA
261,0.055999999999999994,55.0,7.0,Pale Ale
262,0.055999999999999994,55.0,7.0,Pale Ale
263,0.055999999999999994,55.0,7.0,Pale Ale
264,0.055999999999999994,55.0,7.0,Pale Ale
265,0.055999999999999994,55.0,7.0,Pale Ale
266,0.054000000000000006,24.0,12.0,Red Ale
267,0.061,94.0,10.0,IPA
269,0.09,130.0,10.0,IPA
270,0.055,64.0,10.0,IPA
272,0.055,30.0,12.0,Red Ale
273,0.055,35.0,12.0,Red Ale
274,0.049,10.0,4.0,Blonde Ale
276,0.052000000000000005,28.0,11.0,Lager
277,0.046,18.0,11.0,Lager
278,0.055999999999999994,55.0,10.0,IPA
279,0.046,18.0,11.0,Lager
280,0.062,70.0,10.0,IPA
283,0.039,9.0,4.0,Weissbier
284,0.078,80.0,10.0,IPA
285,0.042,35.0,10.0,IPA
286,0.048,16.0,3.0,Witbier
288,0.085,90.0,10.0,IPA
289,0.068,70.0,10.0,IPA
291,0.051,36.0,7.0,Pale Ale
294,0.045,24.0,15.0,Amber
296,0.052000000000000005,42.0,7.0,Pale Ale
298,0.07200000000000001,85.0,10.0,IPA
299,0.095,99.0,10.0,IPA
301,0.06,45.0,45.0,Stout
303,0.07,65.0,10.0,IPA
304,0.065,8.0,8.0,Fruit / Vegetable Beer
305,0.055,30.0,7.0,Pale Ale
306,0.08,69.0,15.0,Strong Ale
307,0.055,40.0,12.0,Märzen
308,0.057,58.0,10.0,IPA
309,0.057,10.0,8.0,Fruit / Vegetable Beer
310,0.08900000000000001,126.0,10.0,IPA
311,0.049,29.0,4.0,Pilsner
312,0.055,25.0,22.0,Bock
313,0.062,65.0,10.0,IPA
315,0.07,60.0,10.0,IPA
316,0.07,60.0,10.0,IPA
317,0.07,60.0,10.0,IPA
318,0.07,60.0,10.0,IPA
319,0.07,60.0,10.0,IPA
320,0.075,70.0,10.0,IPA
321,0.075,70.0,10.0,IPA
322,0.08,65.0,30.0,Porter
323,0.055,25.0,18.0,Brown Ale
324,0.055,25.0,18.0,Brown Ale
325,0.07200000000000001,75.0,12.0,Red Ale
326,0.075,70.0,10.0,IPA
327,0.05,18.0,3.0,Witbier
328,0.067,60.0,10.0,IPA
331,0.047,17.0,4.0,Blonde Ale
332,0.062,55.0,18.0,Brown Ale
334,0.065,75.0,10.0,IPA
335,0.052000000000000005,24.0,12.0,Red Ale
336,0.052000000000000005,24.0,12.0,Red Ale
337,0.068,75.0,10.0,IPA
339,0.055999999999999994,21.0,4.0,Blonde Ale
340,0.075,29.0,45.0,Stout
342,0.06,46.0,7.0,Pale Ale
343,0.075,25.0,7.0,Pale Ale
344,0.052000000000000005,15.0,3.0,Witbier
345,0.052000000000000005,25.0,12.0,Red Ale
346,0.065,65.0,10.0,IPA
347,0.049,25.0,4.0,Blonde Ale
348,0.06,31.0,12.0,Red Ale
350,0.05,15.0,4.0,Blonde Ale
352,0.092,115.0,10.0,IPA
353,0.065,80.0,10.0,IPA
354,0.063,37.0,12.0,Red Ale
355,0.075,33.0,18.0,Brown Ale
